game_id,date,home_club_id,away_club_id,home_club_manager_name,away_club_manager_name,stadium,attendance,referee,home_club_name,away_club_name,competition_type
4635116,2025-11-23,995,1158,Luís Castro,Olivier Pantaloni,Stade de la Beaujoire,25967.0,Ruddy Buquet,Football Club de Nantes,Football Club Lorient-Bretagne Sud,domestic_league
4635117,2025-11-23,415,1420,Carles Martínez,Alexandre Dujeux,Stadium Municipal,19132.0,Marc Bollengier,Toulouse Football Club,Angers Sporting Club de l'Ouest,domestic_league
4635118,2025-11-23,3911,347,Éric Roy,Stéphane Le Mignan,Stade Francis-Le Blé,13938.0,Gaël Angoula,Stade brestois 29,Football Club de Metz,domestic_league
4635119,2025-11-23,1082,10004,Bruno Génésio,Stéphane Gilli,Decathlon Arena-Stade Pierre-Mauroy,39053.0,Benoît Millot,Lille Olympique Sporting Club,Paris Football Club,domestic_league
4635120,2025-11-23,290,1041,Christophe Pélissier,Paulo Fonseca,Stade de l'Abbé-Deschamps,17359.0,Thomas Léonard,Association de la Jeunesse auxerroise,Olympique Lyonnais,domestic_league
4635121,2025-11-21,417,244,Franck Haise,Roberto De Zerbi,Allianz Riviera,27089.0,Jérémie Pignard,Olympique Gymnaste Club Nice Côte d'Azur,Olympique de Marseille,domestic_league
4635122,2025-11-22,583,738,Luis Enrique,Didier Digard,Parc des Princes,47694.0,Mathieu Vernice,Paris Saint-Germain Football Club,Le Havre Athletic Club,domestic_league
4635123,2025-11-30,1041,995,Paulo Fonseca,Luís Castro,Groupama Stadium,46449.0,Abdelatif Kherradji,Olympique Lyonnais,Football Club de Nantes,domestic_league
4635124,2025-11-29,10004,290,Stéphane Gilli,Christophe Pélissier,Stade Jean Bouin,15007.0,François Letexier,Paris Football Club,Association de la Jeunesse auxerroise,domestic_league
4635125,2025-11-30,1420,826,Alexandre Dujeux,Pierre Sage,Stade Raymond-Kopa,12979.0,Guillaume Paradis,Angers Sporting Club de l'Ouest,Racing Club de Lens,domestic_league
4635126,2025-11-30,738,1082,Didier Digard,Bruno Génésio,Stade Océane,20689.0,Willy Delajod,Le Havre Athletic Club,Lille Olympique Sporting Club,domestic_league
4635127,2025-11-28,347,273,Stéphane Le Mignan,Habib Beye,Stade Saint-Symphorien,20291.0,Jérémy Stinat,Football Club de Metz,Stade Rennais Football Club,domestic_league
4635128,2025-11-30,667,3911,Liam Rosenior,Éric Roy,Stade de la Meinau,30017.0,Bastien Dechepy,Racing Club de Strasbourg Alsace,Stade brestois 29,domestic_league
4635129,2025-11-30,1158,417,Olivier Pantaloni,Franck Haise,Stade du Moustoir,15648.0,Romain Lissorgue,Football Club Lorient-Bretagne Sud,Olympique Gymnaste Club Nice Côte d'Azur,domestic_league
4635130,2025-11-29,162,583,Sébastien Pocognoli,Luis Enrique,Stade Louis-II,11546.0,Clément Turpin,Association sportive de Monaco Football Club,Paris Saint-Germain Football Club,domestic_league
